CustomerID,Lookalikes
C0001,"[('C0091', 0.999), ('C0190', 0.997), ('C0048', 0.995)]"
C0002,"[('C0088', 0.979), ('C0134', 0.964), ('C0106', 0.951)]"
C0003,"[('C0031', 0.991), ('C0052', 0.986), ('C0076', 0.982)]"
C0004,"[('C0155', 0.987), ('C0087', 0.955), ('C0153', 0.935)]"
C0005,"[('C0186', 0.999), ('C0007', 0.993), ('C0140', 0.987)]"
C0006,"[('C0168', 0.979), ('C0187', 0.968), ('C0011', 0.964)]"
C0007,"[('C0005', 0.993), ('C0115', 0.992), ('C0186', 0.986)]"
C0008,"[('C0065', 0.909), ('C0059', 0.888), ('C0160', 0.758)]"
C0009,"[('C0198', 0.991), ('C0010', 0.982), ('C0062', 0.981)]"
C0010,"[('C0111', 0.986), ('C0061', 0.984), ('C0009', 0.982)]"
C0011,"[('C0137', 0.994), ('C0191', 0.979), ('C0174', 0.973)]"
C0012,"[('C0113', 0.984), ('C0163', 0.982), ('C0195', 0.975)]"
C0013,"[('C0099', 0.989), ('C0108', 0.981), ('C0107', 0.86)]"
C0014,"[('C0060', 1.0), ('C0089', 0.944), ('C0166', 0.884)]"
C0015,"[('C0036', 0.983), ('C0131', 0.981), ('C0094', 0.947)]"
C0016,"[('C0183', 1.0), ('C0067', 0.986), ('C0034', 0.975)]"
C0017,"[('C0075', 0.979), ('C0041', 0.946), ('C0057', 0.939)]"
C0018,"[('C0117', 0.963), ('C0122', 0.929), ('C0046', 0.923)]"
C0019,"[('C0081', 0.947), ('C0121', 0.893), ('C0070', 0.886)]"
C0020,"[('C0050', 0.917), ('C0035', 0.893), ('C0157', 0.844)]"
